id,entity,name_myv,name_mdf,name_deu,district_deu,region_deu,dialect,name_rus,district_rus,region_rus,coordinate
Mdf:Kul,село,x,od v́eĺə,Kulikowka,Insar,Pensa,mdf:SE,Куликовка,x,x,"54.064763, 44.552953"
Myv:Kur,село,kuraj-v́eĺe,x,Kurajewo,x,x,myv:Mixed,Кураево,x,x,"54.711125, 42.634978"
Myv:Kut,село,x,x,Kutuschi,Tschistopol,x,myv:X,Старые Кутуши,x,x,"54.695918, 51.116044"
Myv:Kuz,село,kuzajḱina,x,Kusaikino,x,x,myv:Trans,Кузайкино,x,x,"54.605902, 52.240429"
Mdf:Leb,село,x,x,Lebeshaika,x,x,mdf:Mixed,Нижняя Лебежайка,Хвалынский район,Саратовский обл.,"52.708115, 48.092315"
Myv:Leb,село,x,x,Lebeshaika,x,x,myv:Mixed,?Малая Лебежайка:Старая Лебежайка,Хвалынский район,Саратовский обл.,"52.684708, 47.867386"
Mdf:Lemd,село,x,ĺəmd́e·j,Lemdjai,Insar,Pensa,mdf:C,Лемдяй,x,x,"54.342623, 44.713544"
Mdf:Levši,село,x,ĺevža,Lewsha,Saransk,Pensa,mdf:C,Левжа,x,x,"54.084532, 45.009530"
Mdf:Lopatino,село,x,x,x,x,x,mdf:X,Лопатино,Торбеевский район,Мордовская АССР,"54.001333, 43.109833"
Myv:MKka,?село,x,x,Malaja Karmalka,Bugulma,Samara,myv:X,Мордовская Кармалка,Шенталинский район,Куйбышевский область,"54.620480, 51.834813"
Myv:MKly,село,Цярмунь,x,Malyje Karmaly,Buinsk,x,myv:X,Малые Кармалы,x,x,"55.159846, 47.213313"
Myv:MR_Ardatova,село,Орданьбуе,x,x,x,x,myv:X,Ардатова,Дубёнский район,Мордовская Республика,"54.404722, 46.321111"
Myv:MR_Atâševo_Alovo,село,Аловеле,x,x,x,x,myv:X,Алово,Атяшевский район,Мордовская Р,"54.625999, 46.357667"
Myv:MR_Čindânovo,село,Кенде,x,x,x,x,myv:X,Чиндяново,Дубёнский район,Мордовская Республика,"54.463889, 46.393333"
Mdf:MR_Junki,село,Ювня,x,x,x,x,mdf:X,Юнки,Торбеевский район,Мордовская Республика,"54.146111, 43.460278"
Myv:MR_Kečuševo,село,Кеченьбие,x,x,x,x,myv:X,Кечушево,x,Мордовская Республика,"54.750000, 46.116667"
Mdf:MR_Kolenovo,село,Коленова,x,x,x,x,mdf:X,Коленово,Атюрьевский район,Мордовская Республика,"54.333333, 43.416667"
Mdf:MR_Krasnyj,село,Краснай,x,x,x,x,mdf:X,Красный,Старошайговский район,Мордовская Республика,"54.418056, 44.47"
Myv:MR_Kulâsovo,село,Кулязбуе,x,x,x,x,myv:X,Кулясово,Атяшевский район,Мордовская Республика,"54.563611, 46.066944"
Myv:MR_Morga,село,Морго,x,x,x,x,myv:X,Морга,Дубёнский район,Мордовская Республика,"54.403333, 46.443333"
Myv:MR_NTurdaki,село,Од Мурза,x,x,x,x,myv:X,Новые Турдаки,x,Мордовская Республика,"53.901833, 45.353000"
Myv:MR_Petrovka,село,Петровка,x,x,x,x,myv:X,Петровка,x,Мордовская Республика,"54.973333, 45.484167"
Myv:MR_Piksâsi,село,Пиксясь,x,x,x,x,myv:X,Пиксяси,x,Мордовская Республика,"54.653000, 46.304167"
Myv:MR_Pilesevo,село,Пилезеле,x,x,x,x,myv:X,Пилесево,Атяшевский район,Мордовская Республика,"54.712778, 45.946111"
Myv:MR_Povodimovo,село,Поваделе,x,x,x,x,myv:X,Поводимово,Дубёнский район,Мордовская Республика,"54.466667, 46.316667"
Myv:MR_Sabaevo,село,Сурвеле,x,x,x,x,myv:X,Сабаево,x,Мордовская Республика,"53.989666, 45.718999"
Myv:MR_Sabančeevo,село,Сабанцеле,x,x,x,x,myv:X,Сабанчеево,Атяшевский район,Мордовская Республика,"54.585, 46.28"
Mdf:J_Moksha,x.,Мокша,x,x,x,x,mdf:X,Мокша,x,Журнал,"54.183333, 45.183333"
Myv:J_Sjatko,x.,Сятко,x,x,x,x,myv:X,Сятко,x,Журнал,"54.183333, 45.183333"
Myv:MR_Semilej,село,Симилей,x,x,x,x,myv:X,Семилей,x,Мордовская Республика,"53.939866, 45.335499"
Myv:MR_Šug,село,Чугурвеле,x,Schugurowo,x,x,myv:X,Шугурово,Большеберезниковский район,Мордовская Республика,"54.266111, 46.093333"
Myv:MR_StNajmany,село,Ташто Найман,x,x,x,x,myv:X,Старые Найманы,Большеберезниковский район,Мордовская Республика,"54.266667, 45.933333"
Myv:MR_StTurdaki,село,Ташто Мурза,x,x,x,x,myv:X,Старые Турдаки,x,Мордовская Республика,"53.916667, 45.466667"
Mdf:Mamangino,село,x,x,x,x,x,mdf:X,Мамангино,Ковылкинский район,x,"54.187333, 43.653500"
Mdf:Mam,село,x,malav,Mamalajewo,Krasnoslobodsk,Pensa,mdf:C,Мамолаево,Ковылкинский район,x,"54.297639, 43.962688"
Mdf:Mann,?район,x,x,Mannila,Tschembar,x,mdf:Trans,x,Белинский район,x,"52.966667, 43.416667"
Myv:Mar,село,Вишка веле,x,Maressewo,Ardatow,x,myv:C,Малое Маресево,Чамзинский район,x,"54.310940, 45.594989"
Mdf:Maskino,село,x,x,x,x,x,mdf:X,Мордовско-Маскинские Выселки,Ельниковский район,x,"54.506667, 43.958333"
Myv:MdBugur,?село,Эрзянь Бруслан,x,Mordowski Buguruslan,Buguruslan,Samara,myv:X,Мордовский Бугуруслан,x,x,"53.793332, 52.518018"
Mdf:MdJurtk,село,x,x,Mordowskije Jurtkuli,x,x,mdf:Mixed,Подлесно-Мордовский Юрткуль,x,x,"54.748421, 49.475487"
Myv:Melc,село,ḿeĺćid-v́eĺe,x,Melsetjewo,x,x,myv:Mixed,Мельсетьево,x,x,"54.754932, 42.427790"
Myv:Mečk,село,mačka·s,x,Matschkassy,x,x,myv:Mixed,Мачкасы,x,x,"52.769067, 45.575864"
Myv:Myv,село,nuval,x,Mywal,x,x,myv:Mixed,Нижний Мывал,x,x,"53.419379, 46.167998"
Myv:NBajt,село,Од Байтерьмиш,x,Nowy Baitermisch,Buguruslan,Samara,myv:X,x,x,x,"54.136666, 51.738999"
Myv:NDemk,село,x,x,Nowoje Djomkino,Petrowsk,x,myv:X,x,x,x,"52.630556, 45.043889"
Myv:NIvanc,село,Од веле,x,Nowoje Iwanzewo,x,x,myv:SW,Новое Иванцево,x,x,"55.203493, 44.572383"
Myv:NPyrma,село,Од Пурня,x,Nowoja Pyrma,Saransk,Pensa,myv:W,Новая Пырма,x,x,"54.012665, 45.455580"
Myv:NSurk,село,Од Суркина,x,Nowoje Surkino,Bugulma,Samara,myv:X,x,Шенталинский район,Куйбышевский область,"54.298889, 51.565833"
Myv:Najman,деревня,x,x,Naiman,Chwalynsk,x,myv:X,Найман,x,x,"52.865283, 47.215532"
Mdf:Nal,село,x,x,Naletkino,Spassk,x,mdf:X,Налеткино,x,x,"54.574722, 49.763611"
Myv:Napolʹnoe,село,Алвеле,x,x,x,x,myv:X,Напольное,x,Чувашия,"55.125833, 46.353056"
Mdf:Nar,село(г.),x,x,Narowtschat,x,x,mdf:SE|Trans,Наровчат,x,x,"53.883431, 43.695771"
Myv:Nask,село,naska·ftə̑m,x,Naskaftym,x,x,myv:Mixed,Наскафтым,x,x,"52.950371, 45.631515"
Myv:Naumk,село,x,x,Naumkino,Petrowsk,x,myv:X,Наумкино,Шемышейский район,Пензенская область,"52.876215, 45.297638"
Myv:Naz,село,x,x,Nasimkino,Petrowsk,x,myv:X,Назимкино,x,x,"52.876944, 45.271667"
Myv:Nikit,село,x,x,Nikitino,x,x,myv:X,x,x,x,"53.094444, 47.081111"
Myv:Nor,село,norad-v́eĺe,x,Norowatowo,x,x,myv:Mixed,Нароватово,x,x,"54.728280, 42.692748"
Myv:Nujk,село,Нуявеле,x,Nuikino,Buguruslan,Samara,myv:X,Нойкино,Бугурусланский район,Оренбургский область,"53.788666, 52.719999"
Myv:NŠant,село,Од Шантала,x,Nowaja Schantala,Bugulma,Bugulma|Buguruslan,myv:Mixed,Новая Шентала,x,x,"54.338298, 51.521211"
Myv:Ork,село,x,x,Orkino,x,x,myv:Mixed,Оркино,x,x,"52.049484, 45.572972"
Myv:Oz,село,oźorka,x,Osjorkino,x,x,myv:Mixed,Озёркино,x,x,"53.488248, 46.461971"
Myv:P_Piksankino,село,x,x,x,x,x,myv:X,Пиксанкино,Шемышейский район,Пензенская область,"52.884500, 45.684666"
Mdf:Pal,село,x,Цифтамаз:Полай веле,Palajewka,Insar,Pensa,mdf:SE,Палаевка,x,x,"53.937043, 44.738464"
Mdf:Pa,село,x,Пой веле,Pajowa,Insar,Pensa,mdf:SE,Паёва,x,x,"54.016667, 44.216667"
Mdf:Patra,деревня,x,Патра веле,Patra,Krasnoslobodsk,Pensa,mdf:SE,Патра,x,x,"54.292132, 44.257802"
Mdf:Patroka,деревня,x,x,Patroka,Gorodischtsche,x,mdf:X,x,x,x,"53.266667, 45.7"
Myv:Pavl,село,x,x,Pawluschkino,Buguruslan,Samara,myv:X,x,x,x,"53.888056, 52.991111"
Myv:Penza,область(город и область.),x,x,x,x,Pensa,myv:X,x,x,x,"53.25, 44.566667"
Mdf:Perchl,село,x,piŕʿt́ĺäj,Perchljai,Insar,Pensa,mdf:C,Перхляй,x,x,"54.186221, 44.909683"
Myv:Petr,район,x,x,x,Petrowsk,x,myv:X,x,x,x,"52.316667, 45.383333"
Mdf:Pimb,село,x,mokšəń ṕimbur,Mordowskij Pimbur,x,x,mdf:W,Мордовский Пимбур,x,x,"53.855622, 43.144089"
Mdf:Pishlja,село,x,x,x,x,x,mdf:X,Татарскя Пишля,Рузаевский район,Мордовская АССР,"54.506500, 44.918667"
Myv:Pičel,село,x,x,Pitschelejka,x,x,myv:Mixed,Пичилейка,x,x,"53.366535, 46.069363"
